text,subject
"An acid reacts with a base to produce salt and water. This is called a neutralization reaction. , Explain briefly. (Ref: 1)",Science
Explain the causes and effects of World War I. ; Explain briefly. (Ref: 54),History
Explain the causes and effects of World War I. : Apply this to modern scenarios. (Ref: 18),History
Calculate the growth rate of bacteria in a lab experiment using exponential functions. . Refer to the chart above. (Ref: 5),Maths
Photosynthesis is the process by which green plants create food using sunlight. ? How is this calculated? (Ref: 39),Science
Atoms are the basic building blocks of matter. . Why is this important? (Ref: 100),Science
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. . Describe in your own words. (Ref: 66),Science
The Industrial Revolution began in the late 18th century and transformed societies. ? Include real-world data. (Ref: 19),History
Graph the rate of a chemical reaction over time and explain the curve. ; What is the implication? (Ref: 1),Maths
"The human heart has four chambers and pumps blood throughout the body. , Describe in your own words. (Ref: 60)",Science
"The Industrial Revolution began in the late 18th century and transformed societies. , Why is this important? (Ref: 24)",History
"The area of a circle is given by πr^2. Calculate the area when r = 5. , Include key facts. (Ref: 5)",Maths
"Graph the rate of a chemical reaction over time and explain the curve. , How do we use this in real life? (Ref: 66)",Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Explain briefly. (Ref: 36),History
Photosynthesis is the process by which green plants create food using sunlight. ; Can you justify this? (Ref: 3),Science
Ancient civilizations like Mesopotamia contributed greatly to writing systems. : Describe in your own words. (Ref: 45),History
Atoms are the basic building blocks of matter. ? Apply this to modern scenarios. (Ref: 58),Science
We should try that new restaurant downtown this weekend. ; What is the implication? (Ref: 95),English
The Industrial Revolution began in the late 18th century and transformed societies. ? Refer to the chart above. (Ref: 60),History
Could you help me with my homework later? . What is the implication? (Ref: 27),English
"We should try that new restaurant downtown this weekend. , Explain briefly. (Ref: 17)",English
Graph the rate of a chemical reaction over time and explain the curve. : Include real-world data. (Ref: 79),Maths
Photosynthesis is the process by which green plants create food using sunlight. ; Refer to the chart above. (Ref: 67),Science
She enjoys reading mystery novels in her free time. ? Why is this important? (Ref: 32),English
Explain the causes and effects of World War I. ; Explain briefly. (Ref: 90),History
"She enjoys reading mystery novels in her free time. , Refer to the chart above. (Ref: 86)",English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ; Why is this important? (Ref: 93),History
We should try that new restaurant downtown this weekend. . Refer to the chart above. (Ref: 44),English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Apply this to modern scenarios. (Ref: 3),History
"That movie was really interesting, don’t you think? ? Refer to the chart above. (Ref: 28)",English
The Industrial Revolution began in the late 18th century and transformed societies. : Why is this important? (Ref: 39),History
Atoms bond to form molecules by sharing or transferring electrons. ? What is the implication? (Ref: 97),Science
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ? Apply this to modern scenarios. (Ref: 43),History
The Industrial Revolution began in the late 18th century and transformed societies. ; Can you justify this? (Ref: 47),History
"That movie was really interesting, don’t you think? , Include key facts. (Ref: 28)",English
Speed is calculated by dividing distance by time. . Describe in your own words. (Ref: 94),Science
Explain the causes and effects of World War I. ; Refer to the chart above. (Ref: 16),History
The human heart has four chambers and pumps blood throughout the body. . How do we use this in real life? (Ref: 94),Science
The periodic table is organized by increasing atomic number. ? Explain briefly. (Ref: 91),Science
