text,subject
"Discuss how historical events influence literary themes, using war poetry as an example. ? Include key facts. (Ref: 6)",English
The human heart has four chambers and pumps blood throughout the body. ; How do we use this in real life? (Ref: 37),Science
"Atoms bond to form molecules by sharing or transferring electrons. , Why is this important? (Ref: 91)",Science
Explain the causes and effects of World War I. ? Why is this important? (Ref: 81),History
Atoms are the basic building blocks of matter. : Include key facts. (Ref: 32),Science
Shakespeare’s history plays often reflect the political issues of his time. ; Why is this important? (Ref: 43),English
"The area of a circle is given by πr^2. Calculate the area when r = 5. , Explain briefly. (Ref: 56)",Maths
"Discuss how historical events influence literary themes, using war poetry as an example. : Explain briefly. (Ref: 25)",English
Solve for x: 2x + 3 = 11. . Refer to the chart above. (Ref: 68),Maths
The Industrial Revolution began in the late 18th century and transformed societies. ? How do we use this in real life? (Ref: 23),History
"Shakespeare’s history plays often reflect the political issues of his time. , How do we use this in real life? (Ref: 26)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. . Why is this important? (Ref: 48),Maths
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ? Include key facts. (Ref: 58),Maths
Explain the causes and effects of World War I. . Discuss with examples. (Ref: 89),History
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Explain briefly. (Ref: 2),Maths
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ? Refer to the chart above. (Ref: 15),Maths
"Discuss how historical events influence literary themes, using war poetry as an example. : Explain briefly. (Ref: 68)",English
"Discuss how historical events influence literary themes, using war poetry as an example. ? Refer to the chart above. (Ref: 97)",English
Solve for x: 2x + 3 = 11. . How do we use this in real life? (Ref: 54),Maths
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ; Discuss with examples. (Ref: 68),Maths
Describe the difference between potential and kinetic energy. ? Refer to the chart above. (Ref: 63),Science
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. ? Explain briefly. (Ref: 63),Science
"The Industrial Revolution began in the late 18th century and transformed societies. , Why is this important? (Ref: 55)",History
Explain the causes and effects of World War I. : Refer to the chart above. (Ref: 95),History
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. ? Explain briefly. (Ref: 16),Science
The periodic table is organized by increasing atomic number. ? Include key facts. (Ref: 21),Science
Graph the rate of a chemical reaction over time and explain the curve. ? Discuss with examples. (Ref: 73),Maths
"Discuss how historical events influence literary themes, using war poetry as an example. ? Discuss with examples. (Ref: 56)",English
The area of a circle is given by πr^2. Calculate the area when r = 5. . Explain briefly. (Ref: 69),Maths
Explain the causes and effects of World War I. ? Explain briefly. (Ref: 13),History
A linear equation is an equation between two variables that gives a straight line when plotted. . Refer to the chart above. (Ref: 32),Maths
"The process of evolution explains how species change over time through natural selection. , Refer to the chart above. (Ref: 82)",Science
Identify the main theme of the story and explain its significance. ; How do we use this in real life? (Ref: 69),English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. : Why is this important? (Ref: 12),History
Explain the causes and effects of World War I. . How do we use this in real life? (Ref: 46),History
"Atoms bond to form molecules by sharing or transferring electrons. , Discuss with examples. (Ref: 4)",Science
Graph the rate of a chemical reaction over time and explain the curve. . Why is this important? (Ref: 54),Maths
The Industrial Revolution began in the late 18th century and transformed societies. . Refer to the chart above. (Ref: 63),History
A linear equation is an equation between two variables that gives a straight line when plotted. ; Why is this important? (Ref: 75),Maths
"The area of a circle is given by πr^2. Calculate the area when r = 5. , Discuss with examples. (Ref: 42)",Maths
"Ancient civilizations like Mesopotamia contributed greatly to writing systems. , Why is this important? (Ref: 3)",History
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Discuss with examples. (Ref: 66)",Maths
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Why is this important? (Ref: 88)",Maths
Identify the main theme of the story and explain its significance. : Refer to the chart above. (Ref: 43),English
Speed is calculated by dividing distance by time. . Include key facts. (Ref: 99),Science
Use historical context to interpret the meaning of the speech in the given text. . Include key facts. (Ref: 85),English
The human heart has four chambers and pumps blood throughout the body. : Refer to the chart above. (Ref: 25),Science
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ; Why is this important? (Ref: 53),History
Solve for x: 2x + 3 = 11. : Explain briefly. (Ref: 20),Maths
The human heart has four chambers and pumps blood throughout the body. : Include key facts. (Ref: 33),Science
The periodic table is organized by increasing atomic number. ? How do we use this in real life? (Ref: 17),Science
Solve for x: 2x + 3 = 11. : Explain briefly. (Ref: 60),Maths
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. ? Discuss with examples. (Ref: 21),Science
"The area of a circle is given by πr^2. Calculate the area when r = 5. , How do we use this in real life? (Ref: 89)",Maths
Graph the rate of a chemical reaction over time and explain the curve. ; Why is this important? (Ref: 7),Maths
The Industrial Revolution began in the late 18th century and transformed societies. . Include key facts. (Ref: 23),History
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ? Refer to the chart above. (Ref: 33),Maths
The periodic table is organized by increasing atomic number. . Why is this important? (Ref: 90),Science
The Industrial Revolution began in the late 18th century and transformed societies. ? Include key facts. (Ref: 62),History
A linear equation is an equation between two variables that gives a straight line when plotted. . Discuss with examples. (Ref: 83),Maths
Punctuate the following sentence correctly: although it was raining we went outside. . Refer to the chart above. (Ref: 11),English
"Use historical context to interpret the meaning of the speech in the given text. , Include key facts. (Ref: 98)",English
Shakespeare’s history plays often reflect the political issues of his time. ? Why is this important? (Ref: 23),English
Newton's First Law states that an object in motion stays in motion unless acted upon by a force. : Include key facts. (Ref: 11),Science
Calculate the growth rate of bacteria in a lab experiment using exponential functions. . Discuss with examples. (Ref: 100),Maths
"The process of evolution explains how species change over time through natural selection. , Why is this important? (Ref: 20)",Science
"Atoms are the basic building blocks of matter. , Refer to the chart above. (Ref: 68)",Science
"The Industrial Revolution began in the late 18th century and transformed societies. , Explain briefly. (Ref: 62)",History
"Explain the causes and effects of World War I. , Include key facts. (Ref: 11)",History
The area of a circle is given by πr^2. Calculate the area when r = 5. ; Refer to the chart above. (Ref: 85),Maths
Graph the rate of a chemical reaction over time and explain the curve. : How do we use this in real life? (Ref: 70),Maths
Calculate the growth rate of bacteria in a lab experiment using exponential functions. : How do we use this in real life? (Ref: 19),Maths
"Discuss how historical events influence literary themes, using war poetry as an example. . Refer to the chart above. (Ref: 100)",English
Use historical context to interpret the meaning of the speech in the given text. . Why is this important? (Ref: 68),English
Shakespeare’s history plays often reflect the political issues of his time. ? Explain briefly. (Ref: 45),English
Punctuate the following sentence correctly: although it was raining we went outside. ? Discuss with examples. (Ref: 55),English
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. . Explain briefly. (Ref: 71),Maths
Identify the main theme of the story and explain its significance. . Why is this important? (Ref: 25),English
Speed is calculated by dividing distance by time. ; Discuss with examples. (Ref: 67),Science
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Include key facts. (Ref: 66)",Maths
Punctuate the following sentence correctly: although it was raining we went outside. ? Why is this important? (Ref: 18),English
The area of a circle is given by πr^2. Calculate the area when r = 5. ; Include key facts. (Ref: 64),Maths
"Explain the causes and effects of World War I. , How do we use this in real life? (Ref: 67)",History
The metaphor in this poem represents the fleeting nature of time. ; Explain briefly. (Ref: 28),English
Use historical context to interpret the meaning of the speech in the given text. . Why is this important? (Ref: 29),English
The process of evolution explains how species change over time through natural selection. . Refer to the chart above. (Ref: 44),Science
"Explain the causes and effects of World War I. , Explain briefly. (Ref: 44)",History
Graph the rate of a chemical reaction over time and explain the curve. : How do we use this in real life? (Ref: 77),Maths
"Explain the function of mitochondria in a cell. , Discuss with examples. (Ref: 98)",Science
Atoms are the basic building blocks of matter. ; Refer to the chart above. (Ref: 58),Science
Shakespeare’s history plays often reflect the political issues of his time. ; How do we use this in real life? (Ref: 25),English
"Discuss how historical events influence literary themes, using war poetry as an example. . Why is this important? (Ref: 47)",English
